Year,Country / territory of asylum/residence,Origin,Refugees (incl. refugee-like situations),Asylum-seekers (pending cases),Returned refugees,Internally displaced persons (IDPs),Returned IDPs,Stateless persons,Others of concern,Total Population
2003,Qatar,Syrian Arab Rep.,,1,,,,,,1
2003,Romania,Syrian Arab Rep.,21,4,,,,,,25
2003,Saudi Arabia,Syrian Arab Rep.,1,,,,,,,1
2003,Sudan,Syrian Arab Rep.,1,,,,,,,1
2003,Slovakia,Syrian Arab Rep.,,43,,,,,,43
2003,Sweden,Syrian Arab Rep.,1048,886,,,,,,1934
2003,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2003,Turkey,Syrian Arab Rep.,3,5,,,,,,8
2003,Ukraine,Syrian Arab Rep.,42,24,,,,,,66
2003,United States of America,Syrian Arab Rep.,182,211,,,,,,393
2003,Uzbekistan,Syrian Arab Rep.,,1,,,,,,1
2003,Yemen,Syrian Arab Rep.,14,67,,,,,,81
2004,United Arab Emirates,Syrian Arab Rep.,34,25,,,,,,59
2004,Australia,Syrian Arab Rep.,103,2,,,,,,105
2004,Austria,Syrian Arab Rep.,75,,,,,,,75
2004,Azerbaijan,Syrian Arab Rep.,2,,,,,,,2
2004,Belgium,Syrian Arab Rep.,80,253,,,,,,333
2004,Benin,Syrian Arab Rep.,1,,,,,,,1
2004,Bulgaria,Syrian Arab Rep.,72,2,,,,,,74
2004,Bosnia and Herzegovina,Syrian Arab Rep.,1,1,,,,,,2
2004,Belarus,Syrian Arab Rep.,,3,,,,,,3
2004,Brazil,Syrian Arab Rep.,5,1,,,,,,6
2004,Canada,Syrian Arab Rep.,459,95,,,,,,554
2004,Switzerland,Syrian Arab Rep.,179,106,,,,,,285
2004,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2004,Cyprus,Syrian Arab Rep.,26,532,,,,,,558
2004,Czech Rep.,Syrian Arab Rep.,14,,,,,,,14
2004,Germany,Syrian Arab Rep.,16184,475,,,,,,16659
2004,Denmark,Syrian Arab Rep.,177,18,,,,,,195
2004,Algeria,Syrian Arab Rep.,3,1,,,,,,4
2004,Ecuador,Syrian Arab Rep.,,2,,,,,,2
2004,Egypt,Syrian Arab Rep.,1,3,,,,,,4
2004,Spain,Syrian Arab Rep.,21,,,,,,,21
2004,Finland,Syrian Arab Rep.,40,,,,,,,40
2004,France,Syrian Arab Rep.,205,,,,,,,205
2004,United Kingdom,Syrian Arab Rep.,44,,,,,,,44
2004,Greece,Syrian Arab Rep.,50,28,,,,,,78
2004,Hungary,Syrian Arab Rep.,29,4,,,,,,33
2004,Indonesia,Syrian Arab Rep.,2,,,,,,,2
2004,Ireland,Syrian Arab Rep.,21,18,,,,,,39
2004,Iraq,Syrian Arab Rep.,489,602,158,,,,,1249
2004,Iceland,Syrian Arab Rep.,1,,,,,,,1
2004,Israel,Syrian Arab Rep.,1,,,,,,,1
2004,Italy,Syrian Arab Rep.,41,,,,,,,41
2004,Jordan,Syrian Arab Rep.,37,77,,,,,,114
2004,Kyrgyzstan,Syrian Arab Rep.,6,2,,,,,,8
2004,Kuwait,Syrian Arab Rep.,,4,,,,,,4
2004,Morocco,Syrian Arab Rep.,3,1,,,,,,4
2004,Rep. of Moldova,Syrian Arab Rep.,,17,,,,,,17
2004,Malta,Syrian Arab Rep.,10,2,,,,,,12
2004,Malaysia,Syrian Arab Rep.,,2,,,,,,2
2004,Netherlands,Syrian Arab Rep.,1588,549,,,,,,2137
2004,Norway,Syrian Arab Rep.,132,,,,,,,132
2004,New Zealand,Syrian Arab Rep.,49,16,,,,,,65
2004,Oman,Syrian Arab Rep.,,1,,,,,,1
2004,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2004,Peru,Syrian Arab Rep.,,2,,,,,,2
2004,Poland,Syrian Arab Rep.,4,5,,,,,,9
2004,Qatar,Syrian Arab Rep.,,3,,,,,,3
2004,Romania,Syrian Arab Rep.,21,5,,,,,,26
2004,Saudi Arabia,Syrian Arab Rep.,5,,,,,,,5
2004,Sudan,Syrian Arab Rep.,1,,,,,,,1
2004,Slovakia,Syrian Arab Rep.,,16,,,,,,16
2004,Sweden,Syrian Arab Rep.,940,606,,,,,,1546
2004,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000
2004,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2004,Turkey,Syrian Arab Rep.,,14,,,,,,14
2004,Ukraine,Syrian Arab Rep.,40,43,,,,,,83
2004,United States of America,Syrian Arab Rep.,197,207,,,,,,404
2004,Uzbekistan,Syrian Arab Rep.,,8,,,,,,8
2004,Yemen,Syrian Arab Rep.,25,43,,,,,,68
2005,United Arab Emirates,Syrian Arab Rep.,34,55,,,,,,89
2005,Australia,Syrian Arab Rep.,124,3,,,,,,127
2005,Austria,Syrian Arab Rep.,122,,,,,,,122
2005,Azerbaijan,Syrian Arab Rep.,1,2,,,,,,3
2005,Belgium,Syrian Arab Rep.,115,409,,,,,,524
2005,Benin,Syrian Arab Rep.,1,,,,,,,1
2005,Bulgaria,Syrian Arab Rep.,78,,,,,,,78
2005,Bosnia and Herzegovina,Syrian Arab Rep.,1,,,,,,,1
2005,Belarus,Syrian Arab Rep.,,1,,,,,,1
2005,Brazil,Syrian Arab Rep.,5,,,,,,,5
2005,Canada,Syrian Arab Rep.,397,64,,,,,,461
2005,Switzerland,Syrian Arab Rep.,294,91,,,,,,385
2005,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2005,Cyprus,Syrian Arab Rep.,42,1535,,,,,,1577
2005,Czech Rep.,Syrian Arab Rep.,13,12,,,,,,25
2005,Germany,Syrian Arab Rep.,10469,2888,,,,,,13357
2005,Denmark,Syrian Arab Rep.,188,12,,,,,,200
2005,Algeria,Syrian Arab Rep.,3,,,,,,,3
2005,Ecuador,Syrian Arab Rep.,1,,,,,,,1
2005,Egypt,Syrian Arab Rep.,2,,,,,,,2
2005,Spain,Syrian Arab Rep.,21,,,,,,,21
2005,Finland,Syrian Arab Rep.,39,,,,,,,39
2005,France,Syrian Arab Rep.,213,,,,,,,213
2005,United Kingdom,Syrian Arab Rep.,208,,,,,,,208
2005,Greece,Syrian Arab Rep.,49,29,,,,,,78
2005,Hungary,Syrian Arab Rep.,44,5,,,,,,49
2005,Indonesia,Syrian Arab Rep.,1,,1,,,,,2
2005,Ireland,Syrian Arab Rep.,27,,,,,,,27
2005,Iraq,Syrian Arab Rep.,627,774,18,,,,,1419
2005,Iceland,Syrian Arab Rep.,1,,,,,,,1
2005,Israel,Syrian Arab Rep.,2,2,,,,,,4
2005,Italy,Syrian Arab Rep.,47,,,,,,,47
2005,Jordan,Syrian Arab Rep.,40,65,,,,,,105
2005,Kyrgyzstan,Syrian Arab Rep.,,16,,,,,,16
2005,Kuwait,Syrian Arab Rep.,,7,,,,,,7
2005,Morocco,Syrian Arab Rep.,3,,,,,,,3
2005,Rep. of Moldova,Syrian Arab Rep.,8,17,,,,,,25
2005,Malta,Syrian Arab Rep.,8,6,,,,,,14
2005,Malaysia,Syrian Arab Rep.,,1,,,,,,1
2005,Netherlands,Syrian Arab Rep.,1674,336,,,,,,2010
2005,Norway,Syrian Arab Rep.,144,,,,,,,144
2005,New Zealand,Syrian Arab Rep.,37,10,,,,,,47
2005,Oman,Syrian Arab Rep.,7,1,,,,,,8
2005,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2005,Peru,Syrian Arab Rep.,,2,,,,,,2
2005,Poland,Syrian Arab Rep.,6,7,,,,,,13
2005,Qatar,Syrian Arab Rep.,,2,,,,,,2
2005,Romania,Syrian Arab Rep.,24,3,,,,,,27
2005,Saudi Arabia,Syrian Arab Rep.,5,9,,,,,,14
2005,Sudan,Syrian Arab Rep.,1,,,,,,,1
2005,Slovakia,Syrian Arab Rep.,,10,,,,,,10
2005,Sweden,Syrian Arab Rep.,1032,367,,,,,,1399
2005,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000
2005,Thailand,Syrian Arab Rep.,1,1,,,,,,2
2005,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2005,Turkey,Syrian Arab Rep.,12,7,,,,,,19
2005,Ukraine,Syrian Arab Rep.,39,41,,,,,,80
2005,United States of America,Syrian Arab Rep.,150,173,,,,,,323
2005,Uzbekistan,Syrian Arab Rep.,,8,,,,,,8
2005,Yemen,Syrian Arab Rep.,25,33,,,,,,58
2006,United Arab Emirates,Syrian Arab Rep.,71,10,,,,,,81
2006,Armenia,Syrian Arab Rep.,,2,,,,,,2
2006,Australia,Syrian Arab Rep.,123,9,,,,,,132
2006,Austria,Syrian Arab Rep.,167,290,,,,,,457
2006,Azerbaijan,Syrian Arab Rep.,1,,,,,,,1
2006,Belgium,Syrian Arab Rep.,100,153,,,,,,253
2006,Benin,Syrian Arab Rep.,1,,,,,,,1
2006,Bulgaria,Syrian Arab Rep.,79,,,,,,,79
2006,Bosnia and Herzegovina,Syrian Arab Rep.,1,,,,,,,1
2006,Brazil,Syrian Arab Rep.,5,1,,,,,,6
2006,Canada,Syrian Arab Rep.,415,41,,,,,,456
2006,Switzerland,Syrian Arab Rep.,388,117,,,,,,505
2006,Côte d'Ivoire,Syrian Arab Rep.,3,,,,,,,3
2006,Cyprus,Syrian Arab Rep.,50,2461,,,,,,2511
2006,Czech Rep.,Syrian Arab Rep.,14,31,,,,,,45
2006,Germany,Syrian Arab Rep.,5845,2117,,,,,,7962
2006,Denmark,Syrian Arab Rep.,213,11,,,,,,224
2006,Algeria,Syrian Arab Rep.,3,,,,,,,3
2006,Ecuador,Syrian Arab Rep.,1,,,,,,,1
2006,Egypt,Syrian Arab Rep.,4,9,,,,,,13
2006,Spain,Syrian Arab Rep.,21,,,,,,,21
2006,Finland,Syrian Arab Rep.,42,12,,,,,,54
2006,France,Syrian Arab Rep.,216,,,,,,,216
2006,United Kingdom,Syrian Arab Rep.,286,,,,,,,286
2006,Greece,Syrian Arab Rep.,50,11,,,,,,61
2006,Hungary,Syrian Arab Rep.,46,14,,,,,,60
2006,Indonesia,Syrian Arab Rep.,1,,,,,,,1
2006,India,Syrian Arab Rep.,,6,,,,,,6
2006,Ireland,Syrian Arab Rep.,29,12,,,,,,41
2006,Iran (Islamic Rep. of),Syrian Arab Rep.,,1,,,,,,1
2006,Iraq,Syrian Arab Rep.,663,911,3,,,,,1577
2006,Iceland,Syrian Arab Rep.,1,,,,,,,1
2006,Israel,Syrian Arab Rep.,2,2,,,,,,4
2006,Italy,Syrian Arab Rep.,62,,,,,,,62
2006,Jordan,Syrian Arab Rep.,42,57,,,,,,99
2006,Kyrgyzstan,Syrian Arab Rep.,,14,,,,,,14
2006,Kuwait,Syrian Arab Rep.,,1,,,,,,1
2006,Lebanon,Syrian Arab Rep.,6,18,,,,,,24
2006,Libya,Syrian Arab Rep.,,8,,,,,,8
2006,Lithuania,Syrian Arab Rep.,,1,,,,,,1
2006,Morocco,Syrian Arab Rep.,2,,,,,,,2
2006,Rep. of Moldova,Syrian Arab Rep.,17,2,,,,,,19
2006,Mexico,Syrian Arab Rep.,,1,,,,,,1
2006,Malta,Syrian Arab Rep.,11,,,,,,,11
2006,Malaysia,Syrian Arab Rep.,,1,,,,,,1
2006,Nigeria,Syrian Arab Rep.,,1,,,,,,1
2006,Netherlands,Syrian Arab Rep.,1559,362,,,,,,1921
2006,Norway,Syrian Arab Rep.,146,82,,,,,,228
2006,New Zealand,Syrian Arab Rep.,38,2,,,,,,40
2006,Oman,Syrian Arab Rep.,7,1,,,,,,8
2006,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2006,Poland,Syrian Arab Rep.,7,2,,,,,,9
2006,Qatar,Syrian Arab Rep.,,2,,,,,,2
2006,Romania,Syrian Arab Rep.,28,8,,,,,,36
2006,Saudi Arabia,Syrian Arab Rep.,5,10,,,,,,15
2006,Slovakia,Syrian Arab Rep.,,10,,,,,,10
2006,Sweden,Syrian Arab Rep.,1065,462,,,,,,1527
2006,Syrian Arab Rep.,Syrian Arab Rep.,1,8,,,,300000,,300009
2006,Thailand,Syrian Arab Rep.,1,,,,,,,1
2006,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2006,Turkey,Syrian Arab Rep.,2,5,,,,,,7
2006,Ukraine,Syrian Arab Rep.,37,34,,,,,,71
2006,United States of America,Syrian Arab Rep.,423,162,,,,,,585
2006,Yemen,Syrian Arab Rep.,25,38,,,,,,63
2007,United Arab Emirates,Syrian Arab Rep.,30,18,,,,,,48
2007,Armenia,Syrian Arab Rep.,,2,,,,,,2
2007,Australia,Syrian Arab Rep.,78,2,,,,,,80
2007,Austria,Syrian Arab Rep.,255,326,,,,,,581
2007,Azerbaijan,Syrian Arab Rep.,1,,,,,,,1
2007,Belgium,Syrian Arab Rep.,114,0,,,,,,114
2007,Benin,Syrian Arab Rep.,1,,,,,,,1
2007,Bulgaria,Syrian Arab Rep.,85,0,,,,,,85
2007,Bosnia and Herzegovina,Syrian Arab Rep.,1,1,,,,,,2
2007,Brazil,Syrian Arab Rep.,5,1,,,,,,6
2007,Canada,Syrian Arab Rep.,624,88,,,,,,712
2007,Switzerland,Syrian Arab Rep.,430,299,,,,,,729
2007,Cyprus,Syrian Arab Rep.,65,2262,,,,,,2327
2007,Czech Rep.,Syrian Arab Rep.,15,18,,,,,,33
2007,Germany,Syrian Arab Rep.,6996,1414,,,,,,8410
2007,Denmark,Syrian Arab Rep.,218,43,,,,,,261
2007,Algeria,Syrian Arab Rep.,3,1,,,,,,4
2007,Ecuador,Syrian Arab Rep.,10,2,,,,,,12
2007,Egypt,Syrian Arab Rep.,4,15,,,,,,19
2007,Spain,Syrian Arab Rep.,21,0,,,,,,21
2007,Finland,Syrian Arab Rep.,46,5,,,,,,51
2007,France,Syrian Arab Rep.,217,0,,,,,,217
2007,United Kingdom,Syrian Arab Rep.,364,0,,,,,,364
2007,Greece,Syrian Arab Rep.,47,392,,,,,,439
2007,Hungary,Syrian Arab Rep.,42,26,,,,,,68
2007,Indonesia,Syrian Arab Rep.,1,,,,,,,1
2007,India,Syrian Arab Rep.,4,2,,,,,,6
2007,Ireland,Syrian Arab Rep.,34,13,,,,,,47
2007,Iraq,Syrian Arab Rep.,590,976,21,,,,,1587
2007,Iceland,Syrian Arab Rep.,1,1,,,,,,2
2007,Israel,Syrian Arab Rep.,2,2,,,,,,4
2007,Italy,Syrian Arab Rep.,84,0,,,,,,84
2007,Jordan,Syrian Arab Rep.,41,60,,,,,,101
2007,Kyrgyzstan,Syrian Arab Rep.,4,14,,,,,,18
2007,Kuwait,Syrian Arab Rep.,,9,,,,,,9
2007,Lebanon,Syrian Arab Rep.,48,42,,,,,,90
2007,Libya,Syrian Arab Rep.,2,9,,,,,,11
2007,Lithuania,Syrian Arab Rep.,3,0,,,,,,3
2007,Morocco,Syrian Arab Rep.,2,,,,,,,2
2007,Rep. of Moldova,Syrian Arab Rep.,11,3,3,,,,,17
2007,Malta,Syrian Arab Rep.,11,0,,,,,,11
2007,Malaysia,Syrian Arab Rep.,3,1,,,,,,4
2007,Netherlands,Syrian Arab Rep.,1421,0,,,,,,1421
2007,Norway,Syrian Arab Rep.,149,86,,,,,,235
2007,New Zealand,Syrian Arab Rep.,30,3,,,,,,33
2007,Oman,Syrian Arab Rep.,7,1,,,,,,8
2007,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2007,Poland,Syrian Arab Rep.,8,4,,,,,,12
2007,Qatar,Syrian Arab Rep.,,2,,,,,,2
2007,Romania,Syrian Arab Rep.,29,3,,,,,,32
2007,Russian Federation,Syrian Arab Rep.,1,,,,,,,1
2007,Saudi Arabia,Syrian Arab Rep.,5,10,,,,,,15
2007,Slovakia,Syrian Arab Rep.,13,1,,,,,,14
2007,Sweden,Syrian Arab Rep.,1081,544,,,,,,1625
2007,Syrian Arab Rep.,Syrian Arab Rep.,,0,,,,300000,,300000
2007,Thailand,Syrian Arab Rep.,2,,,,,,,2
2007,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2007,Turkey,Syrian Arab Rep.,5,19,,,,,,24
2007,Ukraine,Syrian Arab Rep.,36,29,,,,,,65
2007,United States of America,Syrian Arab Rep.,344,78,,,,,,422
2007,Uzbekistan,Syrian Arab Rep.,1,,,,,,,1
2007,Yemen,Syrian Arab Rep.,32,41,,,,,,73
2008,United Arab Emirates,Syrian Arab Rep.,21,22,,,,,,43
2008,Australia,Syrian Arab Rep.,74,11,,,,,,85
2008,Austria,Syrian Arab Rep.,333,357,,,,,,690
2008,Belgium,Syrian Arab Rep.,152,0,,,,,,152
2008,Benin,Syrian Arab Rep.,1,,,,,,,1
2008,Bulgaria,Syrian Arab Rep.,86,4,,,,,,90
2008,Bosnia and Herzegovina,Syrian Arab Rep.,1,1,,,,,,2
2008,Brazil,Syrian Arab Rep.,5,1,,,,,,6
2008,Canada,Syrian Arab Rep.,603,133,,,,,,736
2008,Switzerland,Syrian Arab Rep.,626,575,,,,,,1201
2008,China,Syrian Arab Rep.,,1,,,,,,1
2008,Cyprus,Syrian Arab Rep.,70,1010,,,,,,1080
2008,Czech Rep.,Syrian Arab Rep.,16,38,,,,,,54
2008,Germany,Syrian Arab Rep.,8205,1418,,,,,,9623
2008,Denmark,Syrian Arab Rep.,272,30,,,,,,302
2008,Ecuador,Syrian Arab Rep.,10,0,,,,,,10
2008,Egypt,Syrian Arab Rep.,9,10,,,,,,19
2008,Spain,Syrian Arab Rep.,34,0,,,,,,34
2008,Finland,Syrian Arab Rep.,50,15,,,,,,65
2008,France,Syrian Arab Rep.,233,0,,,,,,233
2008,United Kingdom,Syrian Arab Rep.,395,0,,,,,,395
2008,Greece,Syrian Arab Rep.,39,127,,,,,,166
2008,Hungary,Syrian Arab Rep.,44,31,,,,,,75
2008,India,Syrian Arab Rep.,,1,,,,,,1
2008,Ireland,Syrian Arab Rep.,36,16,,,,,,52
2008,Iraq,Syrian Arab Rep.,534,1012,8,,,,,1554
2008,Iceland,Syrian Arab Rep.,1,2,,,,,,3
2008,Israel,Syrian Arab Rep.,1,2,,,,,,3
2008,Italy,Syrian Arab Rep.,110,0,,,,,,110
2008,Jordan,Syrian Arab Rep.,44,124,,,,,,168
2008,Kyrgyzstan,Syrian Arab Rep.,4,14,,,,,,18
2008,Kuwait,Syrian Arab Rep.,,9,,,,,,9
2008,Lebanon,Syrian Arab Rep.,84,66,,,,,,150
2008,Libya,Syrian Arab Rep.,,12,,,,,,12
2008,Lithuania,Syrian Arab Rep.,3,0,,,,,,3
2008,Latvia,Syrian Arab Rep.,,3,,,,,,3
2008,Rep. of Moldova,Syrian Arab Rep.,12,2,,,,,,14
2008,Malta,Syrian Arab Rep.,11,0,,,,,,11
2008,Netherlands,Syrian Arab Rep.,1326,0,,,,,,1326
2008,Norway,Syrian Arab Rep.,154,122,,,,,,276
2008,New Zealand,Syrian Arab Rep.,33,2,,,,,,35
2008,Oman,Syrian Arab Rep.,7,0,,,,,,7
2008,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2008,Peru,Syrian Arab Rep.,,2,,,,,,2
2008,Poland,Syrian Arab Rep.,8,4,,,,,,12
2008,Qatar,Syrian Arab Rep.,7,0,,,,,,7
2008,Romania,Syrian Arab Rep.,25,6,,,,,,31
2008,Russian Federation,Syrian Arab Rep.,2,4,,,,,,6
2008,Saudi Arabia,Syrian Arab Rep.,14,0,,,,,,14
2008,Slovakia,Syrian Arab Rep.,14,0,,,,,,14
2008,Sweden,Syrian Arab Rep.,1084,617,,,,,,1701
2008,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000
2008,Thailand,Syrian Arab Rep.,1,1,,,,,,2
2008,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2008,Turkey,Syrian Arab Rep.,12,21,,,,,,33
2008,Ukraine,Syrian Arab Rep.,39,47,,,,,,86
2008,United States of America,Syrian Arab Rep.,320,72,,,,,,392
2008,Uzbekistan,Syrian Arab Rep.,1,,,,,,,1
2008,Yemen,Syrian Arab Rep.,32,44,,,,,,76
2009,United Arab Emirates,Syrian Arab Rep.,21,25,,,,,,46
2009,Australia,Syrian Arab Rep.,80,7,,,,,,87
2009,Austria,Syrian Arab Rep.,385,495,,,,,,880
2009,Belgium,Syrian Arab Rep.,177,0,,,,,,177
2009,Benin,Syrian Arab Rep.,1,,,,,,,1
2009,Bulgaria,Syrian Arab Rep.,90,10,,,,,,100
2009,Bosnia and Herzegovina,Syrian Arab Rep.,1,2,,,,,,3
2009,Brazil,Syrian Arab Rep.,5,,,,,,,5
2009,Canada,Syrian Arab Rep.,577,183,,,,,,760
2009,Switzerland,Syrian Arab Rep.,661,723,,,,,,1384
2009,China,Syrian Arab Rep.,,1,,,,,,1
2009,Cyprus,Syrian Arab Rep.,95,404,,,,,,499
2009,Czech Rep.,Syrian Arab Rep.,15,56,,,,,,71
2009,Germany,Syrian Arab Rep.,10217,1811,,,,,,12028
2009,Denmark,Syrian Arab Rep.,392,152,,,,,,544
2009,Ecuador,Syrian Arab Rep.,10,1,,,,,,11
2009,Egypt,Syrian Arab Rep.,9,1,,,,,,10
2009,Spain,Syrian Arab Rep.,33,0,,,,,,33
2009,Finland,Syrian Arab Rep.,52,31,,,,,,83
2009,France,Syrian Arab Rep.,244,0,,,,,,244
2009,United Kingdom,Syrian Arab Rep.,460,0,,,,,,460
2009,Greece,Syrian Arab Rep.,19,0,,,,,,19
2009,Hungary,Syrian Arab Rep.,43,3,,,,,,46
2009,Indonesia,Syrian Arab Rep.,,3,,,,,,3
2009,Ireland,Syrian Arab Rep.,34,6,,,,,,40
2009,Iran (Islamic Rep. of),Syrian Arab Rep.,,1,,,,,,1
2009,Iraq,Syrian Arab Rep.,757,127,,,,,,884
2009,Iceland,Syrian Arab Rep.,1,0,,,,,,1
2009,Italy,Syrian Arab Rep.,190,0,,,,,,190
2009,Jordan,Syrian Arab Rep.,138,144,,,,,,282
2009,Kyrgyzstan,Syrian Arab Rep.,4,19,,,,,,23
2009,Kuwait,Syrian Arab Rep.,,13,,,,,,13
2009,Lebanon,Syrian Arab Rep.,90,100,,,,,,190
2009,Libya,Syrian Arab Rep.,,8,,,,,,8
2009,Lithuania,Syrian Arab Rep.,3,0,,,,,,3
2009,"China, Macao SAR",Syrian Arab Rep.,,4,,,,,,4
2009,Rep. of Moldova,Syrian Arab Rep.,10,2,,,,,,12
2009,Malta,Syrian Arab Rep.,18,7,,,,,,25
2009,Malaysia,Syrian Arab Rep.,,1,,,,,,1
2009,Netherlands,Syrian Arab Rep.,1254,98,,,,,,1352
2009,Norway,Syrian Arab Rep.,152,297,,,,,,449
2009,New Zealand,Syrian Arab Rep.,35,2,,,,,,37
2009,Oman,Syrian Arab Rep.,7,,,,,,,7
2009,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2009,Poland,Syrian Arab Rep.,8,3,,,,,,11
2009,Qatar,Syrian Arab Rep.,7,,,,,,,7
2009,Romania,Syrian Arab Rep.,19,11,,,,,,30
2009,Russian Federation,Syrian Arab Rep.,4,3,,,,,,7
2009,Saudi Arabia,Syrian Arab Rep.,14,6,,,,,,20
2009,Slovakia,Syrian Arab Rep.,20,0,,,,,,20
2009,Sweden,Syrian Arab Rep.,1118,594,,,,,,1712
2009,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000
2009,Thailand,Syrian Arab Rep.,,1,,,,,,1
2009,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2009,Turkey,Syrian Arab Rep.,8,56,,,,,,64
2009,Ukraine,Syrian Arab Rep.,42,54,,,,,,96
2009,United States of America,Syrian Arab Rep.,341,67,,,,,,408
2009,Yemen,Syrian Arab Rep.,40,38,,,,,,78
2010,United Arab Emirates,Syrian Arab Rep.,34,9,,,,,,43
2010,Australia,Syrian Arab Rep.,68,18,,,,,,86
2010,Austria,Syrian Arab Rep.,505,471,,,,,,976
2010,Belgium,Syrian Arab Rep.,229,0,,,,,,229
2010,Benin,Syrian Arab Rep.,1,,,,,,,1
2010,Bulgaria,Syrian Arab Rep.,95,30,,,,,,125
2010,Bosnia and Herzegovina,Syrian Arab Rep.,1,2,,,,,,3
2010,Bolivia (Plurinational State of),Syrian Arab Rep.,,2,,,,,,2
2010,Brazil,Syrian Arab Rep.,5,0,,,,,,5
2010,Canada,Syrian Arab Rep.,545,221,,,,,,766
2010,Switzerland,Syrian Arab Rep.,694,859,,,,,,1553
2010,Cyprus,Syrian Arab Rep.,125,242,,,,,,367
2010,Czech Rep.,Syrian Arab Rep.,23,36,,,,,,59
2010,Germany,Syrian Arab Rep.,10518,2690,,,,,,13208
2010,Denmark,Syrian Arab Rep.,750,483,,,,,,1233
2010,Dominican Rep.,Syrian Arab Rep.,,1,,,,,,1
2010,Ecuador,Syrian Arab Rep.,9,2,,,,,,11
2010,Egypt,Syrian Arab Rep.,8,2,,,,,,10
2010,Spain,Syrian Arab Rep.,35,12,,,,,,47
2010,Finland,Syrian Arab Rep.,59,23,,,,,,82
2010,France,Syrian Arab Rep.,280,0,,,,,,280
2010,United Kingdom,Syrian Arab Rep.,499,0,,,,,,499
2010,Greece,Syrian Arab Rep.,16,2217,,,,,,2233
2010,Croatia,Syrian Arab Rep.,,4,,,,,,4
2010,Hungary,Syrian Arab Rep.,39,8,,,,,,47
2010,Ireland,Syrian Arab Rep.,34,10,,,,,,44
2010,Iran (Islamic Rep. of),Syrian Arab Rep.,,1,,,,,,1
2010,Iraq,Syrian Arab Rep.,254,968,,,,,,1222
2010,Iceland,Syrian Arab Rep.,1,2,,,,,,3
2010,Italy,Syrian Arab Rep.,211,29,,,,,,240
2010,Jordan,Syrian Arab Rep.,198,287,,,,,,485
2010,Kyrgyzstan,Syrian Arab Rep.,11,12,,,,,,23
2010,Kuwait,Syrian Arab Rep.,4,13,,,,,,17
2010,Lebanon,Syrian Arab Rep.,64,141,,,,,,205
2010,Lithuania,Syrian Arab Rep.,3,,,,,,,3
2010,Luxembourg,Syrian Arab Rep.,,15,,,,,,15
2010,"China, Macao SAR",Syrian Arab Rep.,,4,,,,,,4
2010,Rep. of Moldova,Syrian Arab Rep.,10,4,,,,,,14
2010,The former Yugoslav Republic of Macedonia,Syrian Arab Rep.,,1,,,,,,1
2010,Malta,Syrian Arab Rep.,33,3,,,,,,36
2010,Malaysia,Syrian Arab Rep.,,5,,,,,,5
2010,Netherlands,Syrian Arab Rep.,1186,133,,,,,,1319
2010,Norway,Syrian Arab Rep.,186,192,,,,,,378
2010,New Zealand,Syrian Arab Rep.,36,4,,,,,,40
2010,Oman,Syrian Arab Rep.,7,,,,,,,7
2010,Pakistan,Syrian Arab Rep.,8,,,,,,,8
2010,Poland,Syrian Arab Rep.,8,8,,,,,,16
2010,Qatar,Syrian Arab Rep.,8,,,,,,,8
2010,Romania,Syrian Arab Rep.,21,13,,,,,,34
2010,Russian Federation,Syrian Arab Rep.,5,3,,,,,,8
2010,Saudi Arabia,Syrian Arab Rep.,14,7,,,,,,21
2010,Slovakia,Syrian Arab Rep.,22,0,,,,,,22
2010,Sweden,Syrian Arab Rep.,1169,371,,,,,,1540
2010,Syrian Arab Rep.,Syrian Arab Rep.,,,,,,300000,,300000
2010,Chad,Syrian Arab Rep.,1,,,,,,,1
2010,Thailand,Syrian Arab Rep.,,1,,,,,,1
2010,Tunisia,Syrian Arab Rep.,5,,,,,,,5
2010,Turkey,Syrian Arab Rep.,9,65,,,,,,74
2010,Ukraine,Syrian Arab Rep.,42,96,,,,,,138
2010,United States of America,Syrian Arab Rep.,312,10,,,,,,322
2010,Yemen,Syrian Arab Rep.,52,34,,,,,,86
2011,United Arab Emirates,Syrian Arab Rep.,37,6,,,,,,43
2011,Armenia,Syrian Arab Rep.,6,2,,,,,,8
2011,Australia,Syrian Arab Rep.,84,66,,,,,,150
2011,Austria,Syrian Arab Rep.,903,456,,,,,,1359
